Ambience,Divey
Best Nights,"Wed, Thu"
Wheelchair Accessible,No
Good For,"Brunch, Dinner"
Ambience,Intimate
Parking,"Street, Validated"
Waiter Service,Yes
Best Nights,Tue
Best Nights,"Mon, Wed, Fri"
Best Nights,"Wed, Thu, Sun"
Caters,No
Takes Reservations,No
Caters,Yes
Music,"DJ, Music Videos"
Parking,"Valet, Street"
Good For,"Lunch, Dinner"
Wheelchair Accessible,Yes
Ambience,"Divey, Trendy"
Music,"Live, Juke Box"
Bike Parking,No
Has TV,No
Accepts Credit Cards,Yes
Best Nights,"Fri, Sat"
Best Nights,Sun
Good for Kids,No
Parking,"Garage, Street, Validated"
Accepts Bitcoin,Yes
Good For,"Dinner, Late Night"
Parking,Valet
Noise Level,Average
Happy Hour,No
Delivery,No
Happy Hour,Yes
Delivery,Yes
Wi-Fi,Free
Best Nights,"Wed, Sat, Sun"
Music,"DJ, Live, Music Videos"
Ambience,Casual
Best Nights,"Sat, Sun"
Best Nights,"Mon, Sat, Sun"
Music,Live
Bike Parking,Yes
Has TV,Yes
Best Nights,"Tue, Fri"
Ambience,Hipster
Best Nights,"Thu, Fri, Sun"
Best Nights,"Thu, Fri"
Music,"DJ, Juke Box, Karaoke"
Good For,Dessert
By Appointment Only,No
Best Nights,Mon
Music,"DJ, Live"
Good For,Brunch
Good for Groups,No
Ambience,"Divey, Casual"
Attire,Casual
Best Nights,"Mon, Fri, Sat"
Good For,Dinner
Wi-Fi,No
Music,"DJ, Background"
Music,Music Videos
Parking,"Valet, Garage, Street"
Take-out,Yes
Good For,Late Night
Waiter Service,No
Outdoor Seating,Yes
Best Nights,Fri
Ambience,Romantic
Noise Level,Very Loud
Has Pool Table,No
Good for Kids,Yes
Best Nights,Wed
Best Nights,"Mon, Wed, Sat"
Best Nights,"Thu, Sat"
Accepts Credit Cards,No
Best Nights,"Thu, Fri, Sat"
Music,"DJ, Juke Box"
Good For,"Lunch, Dinner, Late Night"
Best Nights,"Mon, Sat"
Coat Check,Yes
Best Nights,"Mon, Tue"
Best Nights,Sat
Best Nights,"Tue, Sat, Sun"
Music,"DJ, Karaoke"
Best Nights,"Tue, Wed, Sat"
Smoking,Yes
Parking,Private Lot
Best Nights,"Tue, Thu, Fri"
Smoking,Outdoor Area/ Patio Only
Take-out,No
Smoking,No
Accepts Apple Pay,No
Best Nights,"Wed, Thu, Fri"
Accepts Bitcoin,No
Parking,"Garage, Street"
Best Nights,"Wed, Fri, Sat"
Ambience,Trendy
Music,"Juke Box, Karaoke"
Music,Background
Parking,Street
Best Nights,"Mon, Tue, Wed"
Coat Check,No
Good for Working,Yes
Good For,Lunch
Best Nights,"Fri, Sat, Sun"
Best Nights,"Mon, Thu, Sun"
Best Nights,"Mon, Thu, Sat"
Best Nights,"Thu, Sat, Sun"
Best Nights,"Tue, Wed, Thu"
Best Nights,"Wed, Thu, Sat"
Music,"Live, Music Videos, Background"
Ages Allowed,All Ages
Music,DJ
Music,Karaoke
Parking,Validated
Good For Dancing,Yes
Noise Level,Loud
Best Nights,"Mon, Thu, Fri"
Drive-Thru,No
Has Pool Table,Yes
Parking,"Street, Private Lot"
Best Nights,"Tue, Fri, Sat"
Parking,Garage
Outdoor Seating,No
Ambience,Classy
Best Nights,Thu
Noise Level,Quiet
Good For Dancing,No
Best Nights,"Tue, Sat"
Music,"DJ, Live, Juke Box"
Takes Reservations,Yes
Alcohol,Full Bar
Good for Groups,Yes
Alcohol,Beer & Wine Only
Ambience,Touristy
Music,Juke Box
Dogs Allowed,Yes
Dogs Allowed,No
Best Nights,"Tue, Thu, Sat"
Best Nights,"Mon, Tue, Sat"
Alcohol,No
Ages Allowed,21+
