Ambience,Divey
Wheelchair Accessible,No
Hair Types Specialized In,"African-American Hair, Asian Hair, Curly Hair, Perms, Straight Perms, Coloring, Kids' Hair"
Good For,"Brunch, Dinner"
Parking,"Street, Validated"
Ambience,Intimate
Best Nights,"Wed, Fri, Sun"
Waiter Service,Yes
Hair Types Specialized In,"African-American Hair, Curly Hair, Extensions, Coloring"
Caters,No
Takes Reservations,No
Caters,Yes
Attire,Formal (Jacket Required)
Parking,"Valet, Street"
Good For,"Lunch, Dinner"
Accepts Insurance,Yes
Hair Types Specialized In,"Asian Hair, Curly Hair, Perms, Extensions, Straight Perms, Coloring"
Wheelchair Accessible,Yes
Bike Parking,No
Has TV,No
Accepts Credit Cards,Yes
Good for Kids,No
Parking,"Garage, Street, Validated"
Good For,"Dinner, Late Night"
Noise Level,Average
Happy Hour,No
Delivery,No
Happy Hour,Yes
Delivery,Yes
Wi-Fi,Free
Ambience,Casual
Hair Types Specialized In,"Extensions, Coloring"
Best Nights,"Mon, Sat, Sun"
Ambience,"Casual, Intimate"
Music,Live
Good For,"Brunch, Lunch, Dinner"
Bike Parking,Yes
Has TV,Yes
Ambience,Hipster
By Appointment Only,No
Best Nights,"Tue, Wed, Fri"
Good For,Brunch
Hair Types Specialized In,"Curly Hair, Coloring, Kids' Hair"
Good for Groups,No
Ambience,"Divey, Casual"
Attire,Casual
Good For,Dinner
Wi-Fi,No
Hair Types Specialized In,"Asian Hair, Curly Hair, Extensions, Coloring"
Music,Music Videos
Good For,"Lunch, Dessert"
Parking,"Valet, Garage, Street"
Take-out,Yes
Good For,Late Night
Accepts Apple Pay,Yes
Waiter Service,No
Outdoor Seating,Yes
Noise Level,Very Loud
Has Pool Table,No
Good for Kids,Yes
Parking,"Garage, Validated"
Accepts Credit Cards,No
Best Nights,"Thu, Fri, Sat"
Wi-Fi,Paid
Coat Check,Yes
Best Nights,Sat
Smoking,Yes
Parking,Private Lot
Parking,"Private Lot, Validated"
Smoking,Outdoor Area/ Patio Only
Take-out,No
Smoking,No
Accepts Apple Pay,No
Hair Types Specialized In,"Curly Hair, Perms, Extensions, Straight Perms, Coloring, Kids' Hair"
Accepts Bitcoin,No
Parking,"Valet, Street, Private Lot"
Parking,"Garage, Street"
By Appointment Only,Yes
Best Nights,"Wed, Fri, Sat"
Ambience,Trendy
Music,Background
Hair Types Specialized In,"African-American Hair, Asian Hair, Curly Hair, Extensions"
Parking,Street
Coat Check,No
Good for Working,Yes
Good For,"Breakfast, Brunch, Lunch, Dinner"
Good For,Lunch
Best Nights,"Fri, Sat, Sun"
Music,DJ
Parking,Validated
Good For Dancing,Yes
Noise Level,Loud
Drive-Thru,No
Hair Types Specialized In,"Asian Hair, Curly Hair, Straight Perms, Coloring, Kids' Hair"
Parking,"Street, Private Lot"
Parking,Garage
Outdoor Seating,No
Noise Level,Quiet
Good For,Breakfast
Good For Dancing,No
Takes Reservations,Yes
Alcohol,Full Bar
Good for Groups,Yes
Alcohol,Beer & Wine Only
Parking,"Street, Private Lot, Validated"
Ambience,Touristy
Music,Juke Box
Dogs Allowed,Yes
Dogs Allowed,No
Best Nights,"Tue, Thu, Sat"
Alcohol,No
Ages Allowed,21+
