Noise Level,Average
By Appointment Only,Yes
Take-out,Yes
Best Nights,"Wed, Fri, Sat"
Wheelchair Accessible,No
Waiter Service,No
Ambience,Intimate
Accepts Apple Pay,Yes
Happy Hour,No
Outdoor Seating,Yes
Accepts Insurance,No
Delivery,No
Parking,"Garage, Private Lot"
Hair Types Specialized In,"African-American Hair, Asian Hair, Curly Hair, Coloring"
Parking,Street
Waiter Service,Yes
Coat Check,No
Good for Working,Yes
Hair Types Specialized In,"African-American Hair, Asian Hair, Curly Hair, Extensions, Kids' Hair"
Delivery,Yes
Wi-Fi,Free
Good for Kids,Yes
Ambience,Casual
Hair Types Specialized In,"Extensions, Coloring"
Parking,"Garage, Street, Private Lot"
Parking,"Valet, Garage, Validated"
Accepts Credit Cards,No
Caters,No
Takes Reservations,No
Music,Live
Good For Dancing,Yes
Caters,Yes
Bike Parking,Yes
Parking,"Street, Private Lot"
Parking,Garage
Parking,"Valet, Street"
Parking,Private Lot
Outdoor Seating,No
Accepts Insurance,Yes
By Appointment Only,No
Take-out,No
Smoking,No
Accepts Apple Pay,No
Wheelchair Accessible,Yes
Good For,Breakfast
Noise Level,Quiet
Takes Reservations,Yes
Alcohol,Beer & Wine Only
Good for Groups,Yes
Bike Parking,No
Has TV,No
Accepts Credit Cards,Yes
Parking,Valet
Dogs Allowed,Yes
Accepts Bitcoin,No
Good for Groups,No
Hair Types Specialized In,"African-American Hair, Asian Hair, Curly Hair, Perms, Extensions, Coloring, Kids' Hair"
Attire,Casual
Good for Kids,No
Wi-Fi,No
Dogs Allowed,No
Good For,Dinner
Accepts Bitcoin,Yes
Alcohol,No
Parking,"Garage, Street"
Parking,"Garage, Street, Private Lot, Validated"
Parking,"Valet, Garage, Street"
